Auteur,Code catégorie,Descriptif,Somme de Nbre de pages,Somme de Numéro livre,Somme de Prix catalogue,Titre
mukanda,AD,La tache d'encre : expression de votre personnalité.,288,288,"15,0925 €",ABC de l'encromanie
niobey,DI,Un mot en appelle un autre.,864,271,"12,1959 €",Dictionnaire analogique
peyramaure,LI,A la conquête d'une nouvelle terre.,840,86,"18,1414 €",Louisiana
quindlen,LI,Scandale autour d'une mort suspecte.,432,10,"10,9763 €",Contre coeur
renaux,VP,Toutes les informations utiles,480,247,"16,7694 €",Les 50 secrets que toute femme devrait connaître
rey,LI,Le bonheur n'était pas au rendez-vous.,432,60,"13,4155 €",Je ne te dirai jamais adieu
Rivers siddons,LI,La hantise d'un monde inconnu.,352,98,"8,3847 €",Ballade italienne
rouaud,LI,Une éducation sentimentale dans un monde flou.,252,17,"11,891 €",Le monde à peu près 2
rouaud,LI,Une éducation sentimentale dans un monde fou.,252,31,"11,891 €",Le monde à peu près 1
rouzic,VP,"Dis-moi ton prénom, je te dirai qui tu es !",432,241,"14,3302 €",Un prénom pour la vie
sadoul,SU,Un jeu de pistes criminel.,352,122,"11,891 €",Les 7 masques
samalin,PS,Pour désamorcer les crises familiales.,256,226,"12,0435 €",Conflits parents-enfants
san-antonio,LI,Les exploits d'un nain criminel.,336,107,"14,94 €",La nurse anglaise
Sasson,TE,La terreur des femmes musulmanes sous le joug viril.,256,157,"14,0863 €",Les filles du Sultana
scottoline,SU,Une femme traquée dans sa réussite.,352,137,"13,7204 €",Dans l'ombre de Mary
signol,LI,Passions et drames d'une dynastie vigneronne.,486,69,"15,5498 €",Les vignes de Sainte Colombe
simon,HU,Une mine d'humour irrésistible.,324,151,"10,9763 €",A se rouler par terre
simons,LI,En quête d'un équilibre amoureux.,496,99,"16,1596 €",Le silence d'une femme
smith,HI,Une formidable épopée d'amour et de pouvoir dans l'Egypte ancienne.,720,50,"17,0743 €",Le dieu fleuve
smith,LI,Passion torride en pays minier.,528,11,"14,0253 €",Rose
Soeur wendy beckett,AR,Huit cents ans de création de la peinture occidentale.,400,187,"30,1849 €",Histoire de la peinture
steel,LI,Défi amoureux pour une recluse.,576,96,"12,9582 €",Une saison de passion
steel,LI,Prouesses et passions d'une aviatrice.,432,95,"13,7204 €",Plein ciel
steel,LI,Quand la maladie foudroie un couple.,400,94,"13,7204 €",La foudre
stoppard,PS,Tout ce qu'il faut savoir de la naissance à 3 ans.,384,224,"19,5135 €",Bébé guide
sulitzer,LI,Un trust diabolique des fous de Dieu.,432,111,"14,6351 €",Le complot des anges
suyin,SU,Des meurtres qui sentent la poudre... blanche.,288,115,"8,3847 €",Le soleil en embuscade
trollope,LI,Vies conjugales en crise.,304,8,"14,0253 €",De si bonnes amies
tyler,LI,"Réinventer sa vie, devenir une autre.",396,7,"14,3302 €",Une autre femme
van eersel,AD,La mort : porte d'une autre vie.,324,292,"14,0253 €",La source noire
varel,LI,Les inquiétants mystères d'un village.,496,76,"13,4155 €",Un village pourtant si tranquille
walter,TE,Le récit d'un rescapé de la tragédie vietnamienne.,464,168,"17,1048 €",La montagne des parfums
walters,SU,Suicide raté pour un crime déguisé ?,448,13,"14,94 €",Lumière noire
werber,LI,Le génie des fourmis au service de la paix des hommes.,544,110,"16,4645 €",La révolution des fourmis
woods windle,LI,Des héroïnes légendaires du Texas.,400,104,"14,6351 €",Les roses du Texas
zweig,HI,Une diabolique manœuvrier du pouvoir.,256,178,"14,4827 €",Fouché
